"rules","support","confidence","lift"
"{DC,DD,DE} => {DB}",0.213333333333333,1,1.55601659751037
"{DB,DC,DD} => {DE}",0.213333333333333,1,4.6875
"{DB,DC,DE} => {DD}",0.213333333333333,1,4.6875
"{DB,DD,DE} => {DC}",0.213333333333333,1,4.6875
"{DC,DD,DE} => {DA}",0.213333333333333,1,1.48221343873518
"{DA,DC,DD} => {DE}",0.213333333333333,1,4.6875
"{DA,DC,DE} => {DD}",0.213333333333333,1,4.6875
"{DA,DD,DE} => {DC}",0.213333333333333,1,4.6875
"{DB,DC,DD} => {DA}",0.213333333333333,1,1.48221343873518
"{DA,DC,DD} => {DB}",0.213333333333333,1,1.55601659751037
"{DA,DB,DC} => {DD}",0.213333333333333,1,4.6875
"{DA,DB,DD} => {DC}",0.213333333333333,1,4.6875
"{DB,DC,DE} => {DA}",0.213333333333333,1,1.48221343873518
"{DA,DC,DE} => {DB}",0.213333333333333,1,1.55601659751037
"{DA,DB,DC} => {DE}",0.213333333333333,1,4.6875
"{DA,DB,DE} => {DC}",0.213333333333333,1,4.6875
"{DB,DD,DE} => {DA}",0.213333333333333,1,1.48221343873518
"{DA,DD,DE} => {DB}",0.213333333333333,1,1.55601659751037
"{DA,DB,DD} => {DE}",0.213333333333333,1,4.6875
"{DA,DB,DE} => {DD}",0.213333333333333,1,4.6875
"{DB,EC,ED} => {EB}",0.277333333333333,1,1.39925373134328
"{DB,EB,ED} => {EC}",0.277333333333333,1,1.46484375
"{DB,EB,EC} => {ED}",0.277333333333333,0.852459016393443,1.85855890202059
"{DA,EC,ED} => {EB}",0.309333333333333,1,1.39925373134328
"{DA,EB,ED} => {EC}",0.309333333333333,1,1.46484375
"{DA,EB,EC} => {ED}",0.309333333333333,0.865671641791045,1.88736549809094
"{EB,EC,ED} => {EA}",0.458666666666667,1,1.21753246753247
"{EA,EC,ED} => {EB}",0.458666666666667,1,1.39925373134328
"{EA,EB,ED} => {EC}",0.458666666666667,1,1.46484375
"{DB,EC,ED} => {DA}",0.277333333333333,1,1.48221343873518
"{DA,EC,ED} => {DB}",0.277333333333333,0.896551724137931,1.39504936328516
"{DA,DB,ED} => {EC}",0.277333333333333,1,1.46484375
"{DA,DB,EC} => {ED}",0.277333333333333,0.852459016393443,1.85855890202059
"{DB,EC,ED} => {EA}",0.277333333333333,1,1.21753246753247
"{DB,EA,ED} => {EC}",0.277333333333333,1,1.46484375
"{DB,EA,EC} => {ED}",0.277333333333333,0.852459016393443,1.85855890202059
"{DA,EC,ED} => {EA}",0.309333333333333,1,1.21753246753247
"{DA,EA,ED} => {EC}",0.309333333333333,1,1.46484375
"{DA,EA,EC} => {ED}",0.309333333333333,0.865671641791045,1.88736549809094
"{DB,EB,ED} => {DA}",0.277333333333333,1,1.48221343873518
"{DA,EB,ED} => {DB}",0.277333333333333,0.896551724137931,1.39504936328516
"{DA,DB,ED} => {EB}",0.277333333333333,1,1.39925373134328
"{DB,EB,ED} => {EA}",0.277333333333333,1,1.21753246753247
"{DB,EA,ED} => {EB}",0.277333333333333,1,1.39925373134328
"{DA,EB,ED} => {EA}",0.309333333333333,1,1.21753246753247
"{DA,EA,ED} => {EB}",0.309333333333333,1,1.39925373134328
"{DA,DB,ED} => {EA}",0.277333333333333,1,1.21753246753247
"{DB,EA,ED} => {DA}",0.277333333333333,1,1.48221343873518
"{DA,EA,ED} => {DB}",0.277333333333333,0.896551724137931,1.39504936328516
"{DB,EB,EC} => {DA}",0.325333333333333,1,1.48221343873518
"{DA,EB,EC} => {DB}",0.325333333333333,0.91044776119403,1.41667182758407
"{DA,DB,EC} => {EB}",0.325333333333333,1,1.39925373134328
"{DA,DB,EB} => {EC}",0.325333333333333,0.91044776119403,1.33366371268657
"{DB,EB,EC} => {EA}",0.325333333333333,1,1.21753246753247
"{DB,EA,EC} => {EB}",0.325333333333333,1,1.39925373134328
"{DB,EA,EB} => {EC}",0.325333333333333,0.91044776119403,1.33366371268657
"{DA,EB,EC} => {EA}",0.357333333333333,1,1.21753246753247
"{DA,EA,EC} => {EB}",0.357333333333333,1,1.39925373134328
"{DA,EA,EB} => {EC}",0.357333333333333,0.917808219178082,1.34444563356164
"{DA,DB,EC} => {EA}",0.325333333333333,1,1.21753246753247
"{DB,EA,EC} => {DA}",0.325333333333333,1,1.48221343873518
"{DA,EA,EC} => {DB}",0.325333333333333,0.91044776119403,1.41667182758407
"{DA,DB,EB} => {EA}",0.357333333333333,1,1.21753246753247
"{DB,EA,EB} => {DA}",0.357333333333333,1,1.48221343873518
"{DA,EA,EB} => {DB}",0.357333333333333,0.917808219178082,1.42812482237253
"{DB,DC,DD,DE} => {DA}",0.213333333333333,1,1.48221343873518
"{DA,DC,DD,DE} => {DB}",0.213333333333333,1,1.55601659751037
"{DA,DB,DC,DD} => {DE}",0.213333333333333,1,4.6875
"{DA,DB,DC,DE} => {DD}",0.213333333333333,1,4.6875
"{DA,DB,DD,DE} => {DC}",0.213333333333333,1,4.6875
"{DB,EB,EC,ED} => {DA}",0.277333333333333,1,1.48221343873518
"{DA,EB,EC,ED} => {DB}",0.277333333333333,0.896551724137931,1.39504936328516
"{DA,DB,EC,ED} => {EB}",0.277333333333333,1,1.39925373134328
"{DA,DB,EB,ED} => {EC}",0.277333333333333,1,1.46484375
"{DA,DB,EB,EC} => {ED}",0.277333333333333,0.852459016393443,1.85855890202059
"{DB,EB,EC,ED} => {EA}",0.277333333333333,1,1.21753246753247
"{DB,EA,EC,ED} => {EB}",0.277333333333333,1,1.39925373134328
"{DB,EA,EB,ED} => {EC}",0.277333333333333,1,1.46484375
"{DB,EA,EB,EC} => {ED}",0.277333333333333,0.852459016393443,1.85855890202059
"{DA,EB,EC,ED} => {EA}",0.309333333333333,1,1.21753246753247
"{DA,EA,EC,ED} => {EB}",0.309333333333333,1,1.39925373134328
"{DA,EA,EB,ED} => {EC}",0.309333333333333,1,1.46484375
"{DA,EA,EB,EC} => {ED}",0.309333333333333,0.865671641791045,1.88736549809094
"{DA,DB,EC,ED} => {EA}",0.277333333333333,1,1.21753246753247
"{DB,EA,EC,ED} => {DA}",0.277333333333333,1,1.48221343873518
"{DA,EA,EC,ED} => {DB}",0.277333333333333,0.896551724137931,1.39504936328516
"{DA,DB,EA,ED} => {EC}",0.277333333333333,1,1.46484375
"{DA,DB,EA,EC} => {ED}",0.277333333333333,0.852459016393443,1.85855890202059
"{DA,DB,EB,ED} => {EA}",0.277333333333333,1,1.21753246753247
"{DB,EA,EB,ED} => {DA}",0.277333333333333,1,1.48221343873518
"{DA,EA,EB,ED} => {DB}",0.277333333333333,0.896551724137931,1.39504936328516
"{DA,DB,EA,ED} => {EB}",0.277333333333333,1,1.39925373134328
"{DA,DB,EB,EC} => {EA}",0.325333333333333,1,1.21753246753247
"{DB,EA,EB,EC} => {DA}",0.325333333333333,1,1.48221343873518
"{DA,EA,EB,EC} => {DB}",0.325333333333333,0.91044776119403,1.41667182758407
"{DA,DB,EA,EC} => {EB}",0.325333333333333,1,1.39925373134328
"{DA,DB,EA,EB} => {EC}",0.325333333333333,0.91044776119403,1.33366371268657
"{DA,DB,EB,EC,ED} => {EA}",0.277333333333333,1,1.21753246753247
"{DB,EA,EB,EC,ED} => {DA}",0.277333333333333,1,1.48221343873518
"{DA,EA,EB,EC,ED} => {DB}",0.277333333333333,0.896551724137931,1.39504936328516
"{DA,DB,EA,EC,ED} => {EB}",0.277333333333333,1,1.39925373134328
"{DA,DB,EA,EB,ED} => {EC}",0.277333333333333,1,1.46484375
"{DA,DB,EA,EB,EC} => {ED}",0.277333333333333,0.852459016393443,1.85855890202059
